VariantName,nsuCountRead,actif_count,ActRate,Nb_Mut
NAT_GII_sel_MHRQ01000021.1/2346-2151,92,283,3.076086957,122
AZO_RM_30_mut_927,23,89,3.869565217,1
MIN_CONST_183,352,88,0.25,138
AZO_RM_30_mut_58,97,218,2.24742268,5
NAT_GII_sel_MFAM01000002.1/937-1133,70,154,2.2,118
NAT_GII_sel_MHNL01000020.1/2025-2224,162,31,0.191358025,129
NAT_GII_sel_CP000860.1/532938-533136,126,387,3.071428571,125
MIN_CONST_131,144,51,0.354166667,144
NAT_GII_sel_MHDG01000004.1/20489-20692,43,51,1.186046512,123
NAT_GII_sel_MFIY01000065.1/2202-2398,131,287,2.190839695,132
AZO_RU_30_mut_863,133,2,0.015037594,16
DCA_TM_2686,80,65,0.8125,44
NAT_GII_sel_JWJG01000028.1/4114821-4115010,248,654,2.637096774,107
MIN_CONST_741,1760,14,0.007954545,143
MIN_CONST_883,119,118,0.991596639,145
DCA_TM_4682,113,16,0.14159292,54
AZO_RM_30_mut_664,266,319,1.19924812,10
FULL_3D_CONST_974,632,48,0.075949367,96
AZO_RM_30_mut_292,73,105,1.438356164,4
AZO_RM_30_mut_219,35,6,0.171428571,6
MIN_CONST_765,434,62,0.142857143,138
NAT_GII_sel_CP002865.1/1555446-1555249,163,492,3.018404908,124
DCA_TM_1872,61,4,0.06557377,39
AZO_RM_30_mut_352,34,95,2.794117647,7
AZO_RM_30_mut_781,44,118,2.681818182,7
AZO_RM_30_mut_734,66,88,1.333333333,5
MIN_CONST_85,471,212,0.450106157,144
Ama,28,6,0.214285714,144
MIN_CONST_271,1695,13,0.007669617,139
NAT_GII_sel_LJOY01000003.1/25853-25648,107,220,2.056074766,115
DCA_TM_555,16,12,0.75,28
AZO_RM_30_mut_371,88,95,1.079545455,4
NAT_GII_sel_MIAI01000302.1/2858-3061,74,309,4.175675676,120
DCA_TM_901,75,6,0.08,46
AZO_RM_30_mut_236,32,113,3.53125,7
AZO_RM_30_mut_99,57,97,1.701754386,5
NAT_GII_sel_MGRZ01000021.1/81400-81203,195,343,1.758974359,119
DCA_SB_50_563,368,2,0.005434783,55
NAT_GII_sel_JH930360.1/312112-312315,547,437,0.798903108,122
MIN_CONST_109,90,71,0.788888889,141
DCA_SB_50_879,188,4,0.021276596,51
AZO_RM_30_mut_308,77,154,2,7
NAT_GII_sel_BA000045.2/3218723-3218528,196,429,2.18877551,118
MIN_CONST_481,2750,12,0.004363636,133
MIN_CONST_817,289,25,0.08650519,134
MIN_CONST_48,212,72,0.339622642,144
AZO_RM_30_mut_302,59,125,2.118644068,7
AZO_RM_30_mut_228,66,211,3.196969697,4
NAT_GII_sel_AWGB01000003.1/107942-107749,119,351,2.949579832,122
AZO_RM_30_mut_81,88,200,2.272727273,6
MIN_CONST_593,308,319,1.035714286,141
AZO_RM_376,47,3,0.063829787,52
DCA_TM_3428,165,87,0.527272727,42
FULL_3D_CONST_416,255,51,0.2,94
AZO_RM_30_mut_481,52,257,4.942307692,6
MIN_CONST_69,599,287,0.479131886,148
NAT_GII_sel_CP011774.1/404673-404888,243,589,2.423868313,120
NAT_GII_sel_LCDA01000004.1/37884-38071,190,430,2.263157895,118
FULL_3D_CONST_801,406,71,0.174876847,94
NAT_GII_sel_AP017295.1/1241510-1241711,155,189,1.219354839,120
MIN_CONST_808,354,219,0.618644068,137
DCA_TM_4262,258,181,0.701550388,46
DCA_TM_4807,90,33,0.366666667,53
MIN_CONST_678,126,60,0.476190476,143
MIN_CONST_76,414,147,0.355072464,145
FULL_3D_CONST_307,799,145,0.181476846,88
MIN_CONST_213,337,39,0.115727003,141
MIN_CONST_202,922,169,0.18329718,140
DCA_TM_1160,91,45,0.494505495,11
MIN_CONST_61,246,90,0.365853659,147
DCA_TM_2923,100,54,0.54,47
DCA_SB_75_333,167,3,0.017964072,65
DCA_TM_3196,43,29,0.674418605,30
MIN_CONST_852,321,127,0.395638629,139
AZO_RM_30_mut_14,30,36,1.2,4
MIN_CONST_842,299,9,0.030100334,133
AZO_RM_30_mut_296,62,2,0.032258065,8
MIN_CONST_57,681,217,0.318649046,145
AZO_RM_30_mut_826,71,103,1.450704225,7
DCA_TM_1793,79,2,0.025316456,39
NAT_GII_sel_LBYN01000004.1/53805-53998,51,136,2.666666667,129
NAT_GII_sel_JXCB01000010.1/131505-131311,585,651,1.112820513,113
NAT_GII_sel_MERA01000266.1/320-515,93,261,2.806451613,110
AZO_RM_30_mut_30,24,28,1.166666667,3
DCA_TM_4164,59,5,0.084745763,44
FULL_3D_CONST_573,398,56,0.140703518,94
FULL_3D_CONST_477,139,2,0.014388489,90
DCA_TM_3512,166,80,0.481927711,44
AZO_RM_780,109,1,0.009174312,53
DCA_TM_4255,99,31,0.313131313,52
NAT_GII_sel_KQ954309.1/20180-19966,178,113,0.634831461,124
MIN_CONST_394,391,160,0.409207161,134
MIN_CONST_361,200,125,0.625,146
NAT_GII_sel_LIUQ01000054.1/20601-20394,129,43,0.333333333,117
AZO_RM_30_mut_930,43,117,2.720930233,5
DCA_TM_949,199,66,0.331658291,48
AZO_RM_30_mut_128,46,17,0.369565217,7
DCA_TM_2010,121,13,0.107438017,22
AZO_RM_30_mut_168,75,276,3.68,8
NAT_GII_sel_CP002691.1/134074-134278,149,341,2.288590604,124
NAT_GII_sel_MGRW01000002.1/384532-384346,78,383,4.91025641,115
DCA_TM_3833,119,16,0.134453782,25
DCA_SB_75_185,146,15,0.102739726,81
AZO_RM_532,94,1,0.010638298,61
NAT_GII_sel_JEMV01000018.1/56662-56864,46,186,4.043478261,120
DCA_TM_4334,32,29,0.90625,23
AZO_RM_30_mut_697,26,68,2.615384615,5
MIN_CONST_403,778,3,0.003856041,135
NAT_GII_sel_CP001287.1/1727345-1727552,231,65,0.281385281,125
DCA_TM_2096,47,33,0.70212766,45
MIN_CONST_868,502,176,0.35059761,134
DCA_SB_75_602,234,3,0.012820513,66
NAT_GII_sel_LCRO01000016.1/604-398,87,193,2.218390805,120
NAT_GII_sel_AYXI01000016.1/56422-56224,50,265,5.3,121
FULL_3D_CONST_382,312,58,0.185897436,93
DCA_TM_4876,40,11,0.275,44
AZO_RM_30_mut_515,35,107,3.057142857,5
MIN_CONST_441,210,91,0.433333333,141
NAT_GII_sel_MFNZ01000006.1/1996-2197,114,231,2.026315789,129
MIN_CONST_958,313,301,0.961661342,136
MIN_CONST_645,169,151,0.893491124,144
MIN_CONST_904,1898,22,0.011591149,142
NAT_GII_sel_ASSJ01000081.1/176878-176668,169,172,1.017751479,118
DCA_SB_75_11,412,50,0.121359223,66
MIN_CONST_188,149,87,0.583892617,147
NAT_GII_sel_MFQN01000001.1/4923-5131,33,66,2,130
MIN_CONST_666,166,136,0.819277108,143
NAT_GII_sel_CP003642.1/3459794-3459979,121,55,0.454545455,114
DCA_SB_50_133,78,1,0.012820513,76
MIN_CONST_40,3165,8,0.002527646,139
DCA_TM_2505,70,57,0.814285714,10
DCA_TM_4757,75,2,0.026666667,28
DCA_TM_1467,44,1,0.022727273,43
NAT_GII_sel_LCMH01000002.1/67321-67516,81,158,1.950617284,125
AZO_RM_30_mut_275,82,114,1.390243902,8
DCA_TM_1103,51,2,0.039215686,48
DCA_TM_659,97,107,1.103092784,44
DCA_TM_3403,61,2,0.032786885,53
AZO_RM_30_mut_28,71,91,1.281690141,8
AZO_RM_30_mut_721,59,131,2.220338983,2
AZO_RM_30_mut_112,115,172,1.495652174,5
MIN_CONST_159,162,34,0.209876543,142
AZO_RM_485,73,16,0.219178082,53
MIN_CONST_140,108,54,0.5,147
AZO_RM_30_mut_783,88,73,0.829545455,6
AZO_RM_746,197,2,0.010152284,57
MIN_CONST_579,138,27,0.195652174,139
NAT_GII_sel_CP000009.1/429789-429583,472,993,2.103813559,128
NAT_GII_sel_MFMA01000054.1/3275-3076,58,113,1.948275862,111
AZO_RM_30_mut_538,67,101,1.507462687,9
DCA_TM_3910,174,5,0.028735632,44
AZO_RM_30_mut_166,85,295,3.470588235,7
DCA_TM_4772,207,78,0.376811594,45
AZO_RM_783,135,54,0.4,63
MIN_CONST_198,247,86,0.348178138,137
MIN_CONST_551,181,60,0.331491713,137
MIN_CONST_847,665,18,0.027067669,132
DCA_TM_4474,130,59,0.453846154,53
AZO_RM_30_mut_862,71,63,0.887323944,8
DCA_TM_1588,41,2,0.048780488,23
AZO_RM_30_mut_527,93,197,2.11827957,3
MIN_CONST_616,754,6,0.00795756,146
DCA_SB_75_374,37,2,0.054054054,103
AZO_RM_30_mut_114,53,32,0.603773585,8
