VariantName,nsubCountRead,subCountRead,ActRate,Nb_Mut,G_test
NAT_GII_sel_MHRQ01000021.1/2346-2151,92,282,3.0652173913043477,122,False
AZO_RM_30_mut_927,23,61,2.652173913043478,1,False
AZO_RM_30_mut_58,97,215,2.216494845360825,5,False
NAT_GII_sel_MFAM01000002.1/937-1133,70,152,2.1714285714285713,118,False
NAT_GII_sel_MHNL01000020.1/2025-2224,162,31,0.19135802469135801,129,False
NAT_GII_sel_CP000860.1/532938-533136,126,384,3.0476190476190474,125,False
MIN_CONST_131,144,51,0.3541666666666667,144,True
NAT_GII_sel_MHDG01000004.1/20489-20692,43,51,1.186046511627907,123,False
NAT_GII_sel_MFIY01000065.1/2202-2398,131,287,2.1908396946564888,132,False
AZO_RU_30_mut_863,133,2,0.015037593984962405,16,False
NAT_GII_sel_JWJG01000028.1/4114821-4115010,248,643,2.592741935483871,107,False
MIN_CONST_741,1760,14,0.007954545454545454,143,False
MIN_CONST_883,119,118,0.9915966386554622,145,True
DCA_TM_4682,113,14,0.12389380530973451,54,False
AZO_RM_30_mut_664,266,238,0.8947368421052632,10,False
AZO_RM_30_mut_292,73,105,1.4383561643835616,4,False
AZO_RM_30_mut_219,35,4,0.11428571428571428,6,False
MIN_CONST_765,434,3,0.0069124423963133645,138,False
NAT_GII_sel_CP002865.1/1555446-1555249,163,443,2.7177914110429446,124,False
DCA_TM_1872,61,4,0.06557377049180328,39,False
AZO_RM_30_mut_352,34,93,2.735294117647059,7,False
AZO_RM_30_mut_781,44,118,2.6818181818181817,7,False
AZO_RM_30_mut_734,66,85,1.2878787878787878,5,False
MIN_CONST_85,471,212,0.45010615711252655,144,True
Ama,28,6,0.21428571428571427,138,False
MIN_CONST_271,1695,13,0.007669616519174041,139,False
NAT_GII_sel_LJOY01000003.1/25853-25648,107,219,2.046728971962617,115,False
DCA_TM_555,16,12,0.75,28,False
AZO_RM_30_mut_371,88,88,1.0,4,False
NAT_GII_sel_MIAI01000302.1/2858-3061,74,277,3.7432432432432434,120,False
AZO_RM_30_mut_236,32,78,2.4375,7,False
AZO_RM_30_mut_99,57,96,1.6842105263157894,5,False
NAT_GII_sel_MGRZ01000021.1/81400-81203,195,343,1.758974358974359,119,False
NAT_GII_sel_JH930360.1/312112-312315,547,432,0.7897623400365631,122,False
AZO_RM_30_mut_308,77,153,1.9870129870129871,7,False
NAT_GII_sel_BA000045.2/3218723-3218528,196,429,2.188775510204082,118,False
MIN_CONST_481,2750,12,0.004363636363636364,133,False
MIN_CONST_48,212,72,0.33962264150943394,144,True
AZO_RM_30_mut_302,59,105,1.7796610169491525,7,False
AZO_RM_30_mut_228,66,199,3.015151515151515,4,False
NAT_GII_sel_AWGB01000003.1/107942-107749,119,336,2.823529411764706,122,False
AZO_RM_30_mut_81,88,174,1.9772727272727273,6,False
MIN_CONST_593,308,319,1.0357142857142858,141,False
AZO_RM_376,47,3,0.06382978723404255,52,False
DCA_TM_3428,165,85,0.5151515151515151,42,False
FULL_3D_CONST_416,255,51,0.2,94,False
MIN_CONST_69,599,287,0.4791318864774624,148,True
NAT_GII_sel_CP011774.1/404673-404888,243,585,2.4074074074074074,120,False
NAT_GII_sel_LCDA01000004.1/37884-38071,190,429,2.2578947368421054,118,False
FULL_3D_CONST_801,406,70,0.1724137931034483,94,False
NAT_GII_sel_AP017295.1/1241510-1241711,155,186,1.2,120,False
DCA_TM_4262,258,178,0.689922480620155,46,False
DCA_TM_4807,90,31,0.34444444444444444,53,False
MIN_CONST_678,126,60,0.47619047619047616,143,True
MIN_CONST_76,414,147,0.35507246376811596,145,True
MIN_CONST_213,337,38,0.11275964391691394,141,False
DCA_TM_1160,91,41,0.45054945054945056,11,False
MIN_CONST_61,246,90,0.36585365853658536,147,True
DCA_TM_2923,100,54,0.54,47,False
DCA_SB_75_333,167,3,0.017964071856287425,65,False
DCA_TM_3196,43,29,0.6744186046511628,30,False
AZO_RM_30_mut_14,30,35,1.1666666666666667,4,False
AZO_RM_30_mut_296,62,2,0.03225806451612903,8,False
MIN_CONST_57,681,217,0.3186490455212922,145,True
AZO_RM_30_mut_826,71,97,1.3661971830985915,7,False
DCA_TM_1793,79,2,0.02531645569620253,39,False
NAT_GII_sel_LBYN01000004.1/53805-53998,51,136,2.6666666666666665,129,False
NAT_GII_sel_JXCB01000010.1/131505-131311,585,651,1.1128205128205129,113,False
NAT_GII_sel_MERA01000266.1/320-515,93,260,2.795698924731183,110,False
AZO_RM_30_mut_30,24,23,0.9583333333333334,3,False
DCA_TM_4164,59,4,0.06779661016949153,44,False
FULL_3D_CONST_573,398,56,0.1407035175879397,94,False
FULL_3D_CONST_477,139,2,0.014388489208633094,90,False
DCA_TM_3512,166,80,0.4819277108433735,44,False
AZO_RM_780,109,1,0.009174311926605505,53,False
DCA_TM_4255,99,30,0.30303030303030304,52,False
MIN_CONST_361,200,125,0.625,146,True
NAT_GII_sel_LIUQ01000054.1/20601-20394,129,40,0.31007751937984496,117,False
AZO_RM_30_mut_930,43,109,2.5348837209302326,5,False
DCA_TM_949,199,66,0.3316582914572864,48,False
AZO_RM_30_mut_128,46,16,0.34782608695652173,7,False
DCA_TM_2010,121,13,0.10743801652892562,22,False
AZO_RM_30_mut_168,75,262,3.493333333333333,8,False
NAT_GII_sel_CP002691.1/134074-134278,149,341,2.2885906040268456,124,False
NAT_GII_sel_MGRW01000002.1/384532-384346,78,383,4.910256410256411,115,False
DCA_TM_3833,119,14,0.11764705882352941,25,False
AZO_RM_532,94,1,0.010638297872340425,61,False
NAT_GII_sel_JEMV01000018.1/56662-56864,46,172,3.739130434782609,120,False
DCA_TM_4334,32,29,0.90625,23,False
AZO_RM_30_mut_697,26,61,2.3461538461538463,5,False
NAT_GII_sel_CP001287.1/1727345-1727552,231,60,0.2597402597402597,125,False
DCA_TM_2096,47,33,0.7021276595744681,45,False
NAT_GII_sel_LCRO01000016.1/604-398,87,190,2.1839080459770117,120,False
NAT_GII_sel_AYXI01000016.1/56422-56224,50,263,5.26,121,False
FULL_3D_CONST_382,312,58,0.1858974358974359,93,False
DCA_TM_4876,40,11,0.275,44,False
AZO_RM_30_mut_515,35,60,1.7142857142857142,5,False
MIN_CONST_441,210,91,0.43333333333333335,141,True
NAT_GII_sel_MFNZ01000006.1/1996-2197,114,231,2.026315789473684,129,False
MIN_CONST_645,169,151,0.893491124260355,144,True
MIN_CONST_904,1898,19,0.010010537407797681,142,False
NAT_GII_sel_ASSJ01000081.1/176878-176668,169,172,1.017751479289941,118,False
MIN_CONST_188,149,87,0.5838926174496645,147,True
NAT_GII_sel_MFQN01000001.1/4923-5131,33,66,2.0,130,False
MIN_CONST_666,166,136,0.8192771084337349,143,False
NAT_GII_sel_CP003642.1/3459794-3459979,121,55,0.45454545454545453,114,False
DCA_SB_50_133,78,1,0.01282051282051282,76,False
MIN_CONST_40,3165,8,0.002527646129541864,139,False
DCA_TM_2505,70,50,0.7142857142857143,10,False
DCA_TM_4757,75,2,0.02666666666666667,28,False
NAT_GII_sel_LCMH01000002.1/67321-67516,81,158,1.9506172839506173,125,False
AZO_RM_30_mut_275,82,114,1.3902439024390243,8,False
DCA_TM_1103,51,1,0.0196078431372549,48,False
DCA_TM_659,97,105,1.0824742268041236,44,False
AZO_RM_30_mut_28,71,91,1.2816901408450705,8,False
AZO_RM_30_mut_721,59,106,1.7966101694915255,2,False
AZO_RM_30_mut_112,115,172,1.4956521739130435,5,False
MIN_CONST_140,108,54,0.5,147,True
AZO_RM_30_mut_783,88,60,0.6818181818181818,6,False
AZO_RM_746,197,2,0.01015228426395939,57,False
MIN_CONST_579,138,27,0.1956521739130435,139,True
NAT_GII_sel_CP000009.1/429789-429583,472,951,2.014830508474576,128,False
NAT_GII_sel_MFMA01000054.1/3275-3076,58,110,1.896551724137931,111,False
AZO_RM_30_mut_538,67,84,1.2537313432835822,9,False
DCA_TM_3910,174,4,0.022988505747126436,44,False
AZO_RM_30_mut_166,85,291,3.4235294117647057,7,False
DCA_TM_4772,207,77,0.3719806763285024,45,False
MIN_CONST_551,181,60,0.3314917127071823,137,True
MIN_CONST_847,665,18,0.02706766917293233,132,False
DCA_TM_4474,130,59,0.45384615384615384,53,False
AZO_RM_30_mut_862,71,63,0.8873239436619719,8,False
DCA_TM_1588,41,2,0.04878048780487805,23,False
AZO_RM_30_mut_527,93,195,2.096774193548387,3,False
